country_host,name,req,requirements,study_field,study_level,url,keywords
España,"Becas STEM Women Iberoamérica + Asia, Universidad de Valladolid – Banco Santander, 2023-2024","PODRÁN SER BENEFICIARIAS DE ESTAS AYUDAS,
a. Las profesoras universitarias que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática que se encuentre entre las instituciones socias con las que la Uva colabora o ha colaborado en el marco del Programa Erasmus+ KA107 en los últimos 5 años,,
b. Las profesoras universitarias que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática con la que se ha suscrito un convenio internacional que se encuentre vigente.,
c. Las egresadas universitarias de cualquier universidad de Iberoamérica o Asia con nacionalidad y residencia en países de Iberoamérica y Asia, preferentemente Brasil e India.,
El listado de universidades socias iberoamericanas y asiáticas con las que la UVa colabora o ha colaborado en el marco del mencionado programa de la Unión Europea o mediante convenio internacional se encuentra disponible en el siguiente enlace https://stem-women- iberoamerica-asia.uva.es/,Las beneficiarias deberán cumplir los siguientes requisitos,
1. Tener una nota media mínima de 7 puntos en una escala de 0 a 10 en su expediente académico de egresada universitaria en el título que da acceso a cursar estudios de Máster.,
2. No estar cursando o haber cursado estudios de Máster en una universidad española.,
3. No haber residido en España durante más de 12 meses en los últimos 3 años, tomando como referencia la fecha de publicación de la presente convocatoria.,
4. No haber sido beneficiaria previamente de una beca de estas características en convocatorias anteriores, salvo que hubieran cursado durante el curso académico 2022/2023 estudios de Máster de más de 60 ECTS en el marco de este Programa, en cuyo caso podrán solicitar la renovación de la beca.,
5. Cumplir los requisitos exigidos para la admisión en el programa de Máster para el que se solicita la ayuda económica.","PODRÁN SER BENEFICIARIAS DE ESTAS AYUDAS,a. Las profesoras universitarias que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática que se encuentre entre las instituciones socias con las que la Uva colabora o ha colaborado en el marco del Programa Erasmus+ KA107 en los últimos 5 años,,b. Las profesoras universitarias que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática con la que se ha suscrito un convenio internacional que se encuentre vigente.,c. Las egresadas universitarias de cualquier universidad de Iberoamérica o Asia con nacionalidad y residencia en países de Iberoamérica y Asia, preferentemente Brasil e India.,El listado de universidades socias iberoamericanas y asiáticas con las que la UVa colabora o ha colaborado en el marco del mencionado programa de la Unión Europea o mediante convenio internacional se encuentra disponible en el siguiente enlace https://stem-women- iberoamerica-asia.uva.es/,Las beneficiarias deberán cumplir los siguientes requisitos,1. Tener una nota media mínima de 7 puntos en una escala de 0 a 10 en su expediente académico de egresada universitaria en el título que da acceso a cursar estudios de Máster.,2. No estar cursando o haber cursado estudios de Máster en una universidad española.,3. No haber residido en España durante más de 12 meses en los últimos 3 años, tomando como referencia la fecha de publicación de la presente convocatoria.,4. No haber sido beneficiaria previamente de una beca de estas características en convocatorias anteriores, salvo que hubieran cursado durante el curso académico 2022/2023 estudios de Máster de más de 60 ECTS en el marco de este Programa, en cuyo caso podrán solicitar la renovación de la beca.,5. Cumplir los requisitos exigidos para la admisión en el programa de Máster para el que se solicita la ayuda económica.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-stem-women-iberoamerica-asia-universidad-de-valladolid-banco-santander-a2091/,"cursar tomando beneficiarias cumplir enlace uva máster cursado convocatoria solicitar puntos admisión requisitos,1 estudios ayuda convocatorias prestan egresadas referencia características"
"Argentina,Brasil,Chile,Costa Rica,la República Dominicana,Ecuador,El Salvador,Guatemala,Honduras,México,Nicaragua,Paraguay,Uruguay,Venezuela,otros países","Becas Global Sustainable Electricity Partnership para estudios de maestría relacionados con energía sostenible y renovable, 2023","Para ser elegible para esta beca, los posibles solicitantes deben:,
1. Realizar estudios de maestría en un campo relacionado con el desarrollo de energía sostenible,
Ejemplos: energía sin emisiones de carbono, redes inteligentes, transporte eléctrico, almacenamiento de energía, tecnologías eléctricas avanzadas, políticas públicas, economía, derecho, ciencias políticas, etc.,
2. Seguir estudios a tiempo completo durante al menos un año escolar completo (dos o tres semestres) a partir de mediados o finales de 2023,
3. Ser ciudadano de un país en desarrollo que figure en la lista de beneficiarios oficiales de ayuda al desarrollo identificados por la Dirección de Cooperación al Desarrollo de la OCDE,
4. Comprometerse a contribuir al desarrollo de su país de origen después de sus estudios.,
5. Ser un estudiante destacado:,
5.1. Excelentes calificaciones en el 20% superior de su clase.,
5.2. Comprometidos con el desarrollo energético sin emisiones de carbono,
5.3. Historia de participación comunitaria,
5.4. Decididos a avanzar en su conocimiento y comprensión.,Con el objetivo de ayudar a los países en desarrollo a desarrollar experiencia local, GSEP dedicará específicamente una parte de sus becas a estudiantes que cursan estudios de maestría en universidades con sede en países en desarrollo.,
El panel académico asegura que la selección anual respete la diversidad geográfica y de género.","Para ser elegible para esta beca, los posibles solicitantes deben:,1. Realizar estudios de maestría en un campo relacionado con el desarrollo de energía sostenible,Ejemplos: energía sin emisiones de carbono, redes inteligentes, transporte eléctrico, almacenamiento de energía, tecnologías eléctricas avanzadas, políticas públicas, economía, derecho, ciencias políticas, etc.,2. Seguir estudios a tiempo completo durante al menos un año escolar completo (dos o tres semestres) a partir de mediados o finales de 2023,3. Ser ciudadano de un país en desarrollo que figure en la lista de beneficiarios oficiales de ayuda al desarrollo identificados por la Dirección de Cooperación al Desarrollo de la OCDE,4. Comprometerse a contribuir al desarrollo de su país de origen después de sus estudios.,5. Ser un estudiante destacado:,5.1. Excelentes calificaciones en el 20% superior de su clase.,5.2. Comprometidos con el desarrollo energético sin emisiones de carbono,5.3. Historia de participación comunitaria,5.4. Decididos a avanzar en su conocimiento y comprensión.,Con el objetivo de ayudar a los países en desarrollo a desarrollar experiencia local, GSEP dedicará específicamente una parte de sus becas a estudiantes que cursan estudios de maestría en universidades con sede en países en desarrollo.,El panel académico asegura que la selección anual respete la diversidad geográfica y de género.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-global-sustainable-electricity-partnership-para-estudios-de-maestria-relacionados-con-energia-sostenible-y-renovable-a2036/,"maestría figure diversidad país comprensión comprometerse conocimiento campo desarrollo almacenamiento energía dedicará respete contribuir objetivo lista selección 2023,3 estudios ayuda"
otros países,"Becas del Gobierno de Brunei Darussalam para estudiantes internacionales, 2023-2024","1. Las solicitudes están abiertas a los ciudadanos de los países miembros de la ASEAN (Association of Southeast Asian Nations), la Mancomunidad Británica de Naciones (Commonwealth) y la OIC (Organisation of Islamic Cooperation), entre otros.,
2. Los solicitantes deben tener entre 18 y 25 años para los programas de pregrado y diploma y no deben exceder los 35 años para los programas de posgrado de maestría el primer día de julio del año en que comienza el curso/programa.,
3. Ser competente en inglés con un crédito 6 en el examen de nivel GCE 'O' o un grado 'C"" en inglés IGCSE (como segundo idioma) o un puntaje IELTS de 6.0 o un puntaje mínimo TOEFL de 550.","1. Las solicitudes están abiertas a los ciudadanos de los países miembros de la ASEAN (Association of Southeast Asian Nations), la Mancomunidad Británica de Naciones (Commonwealth) y la OIC (Organisation of Islamic Cooperation), entre otros.,2. Los solicitantes deben tener entre 18 y 25 años para los programas de pregrado y diploma y no deben exceder los 35 años para los programas de posgrado de maestría el primer día de julio del año en que comienza el curso/programa.,3. Ser competente en inglés con un crédito 6 en el examen de nivel GCE 'O' o un grado 'C"" en inglés IGCSE (como segundo idioma) o un puntaje IELTS de 6.0 o un puntaje mínimo TOEFL de 550.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad",https://becas-sin-fronteras.com/beca/becas-del-gobierno-de-brunei-darussalam-para-estudiantes-internacionales-a1376/,maestría comienza idioma nivel solicitudes programas crédito examen inglés c miembros diploma curso países posgrado puntaje julio programa ciudadanos años
"online,España","Becas para maestrías en la Universidad Antonio de Nebrija, España – ICETEX, 2023","1. El aspirante debe ser mayor de 21 años y menor de 65 años,
2. Tener un promedio mínimo de notas de pregrado de 3,7/5,0,
3. Contar preferiblemente con mínimo 1 año de experiencia profesional (es decir, luego de haber obtenido el título universitario) en el área del programa a realizar.","1. El aspirante debe ser mayor de 21 años y menor de 65 años,2. Tener un promedio mínimo de notas de pregrado de 3,7/5,0,3. Contar preferiblemente con mínimo 1 año de experiencia profesional (es decir, luego de haber obtenido el título universitario) en el área del programa a realizar.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-para-maestrias-en-la-universidad-antonio-de-nebrija-espana-icetex-a1280/,años promedio aspirante pregrado contar año experiencia obtenido área programa notas título
Colombia,"Apoyo Financiero para Estudiantes con Discapacidad en Educación Superior – ICETEX, 2023-1","Quienes aspiren a los créditos condonables deberán cumplir como mínimo con los siguientes requisitos:,
1. Ser ciudadano colombiano/a,
2. Presentar el certificado que acredite el tipo de discapacidad (de acuerdo a la Resolución 113 de 2020 del Ministerio de Salud) expedido por una E.P.S. o Junta de Invalidez. Dicha certificación deberá ser remitida vía correo electrónico, no obstante, el aspirante deberá garantizar que el documento adjunto es copia fiel del certificado original enviando una declaración suscrita por el aspirante que contenga lo siguiente:,
2.1. Correo: fondo@saldarriagaconcha.org,
2.2. Asunto: Convocatoria 2021-2_Nombres y Apellidos,
2.3. Declaración del certificado: “(nombre del aspirante, identificado con la cedula de ciudadanía No. -------, declaro que el presente documento adjunto es fiel copia del documento original por medio del cual se certifica y/o acredita la discapacidad establecida. Por lo anterior, doy fe de la autenticidad y veracidad del documento presentado para cumplir con los requisitos para aspirar al crédito condonable.,
2.4. Incluir firma y cedula del aspirante)”.,
3. Pertenecer a los estratos 1, 2 o 3.,
4. No tener apoyo económico adicional de entidades nacionales u otros organismos, para adelantar estudios de educación superior en los niveles técnico profesional, tecnológico o universitario, no ser beneficiario, ni haber sido beneficiario de las líneas de créditos 100% condonables del ICETEX, ni ser beneficiario del componente equidad del programa generación E.,
5. Estar admitido en una Institución de Educación Superior reconocida por el Ministerio de Educación Nacional,
6. Haber presentado la prueba Saber 11 o la prueba de estado equivalente,
7. Haber terminado satisfactoriamente el nivel o periodo académico inmediatamente anterior para aspirantes de tercer semestre en adelante.,
8. No tener título de nivel universitario.,
9. El documento de identidad con el cual el/la aspirante se inscribe en la convocatoria del Fondo debe coincidir con el del certificado médico que se remite a la Fundación Saldarriaga Concha.,
10. Diligenciar completa y correctamente el formulario de solicitud del crédito, en el sitio web que se indique en la convocatoria.,
11. El no cumplimiento de alguno de los anteriores requisitos excluirá al candidato de participar en la presente convocatoria.,
12. Quienes aspiren deberán tener en cuenta las siguientes condiciones:,
13. Aspirantes que se presentaron a la convocatoria y no fueron seleccionados, pueden iniciar el proceso en una próxima convocatoria, si la hubiere,
14. Estudiantes que hayan sido beneficiarios del Fondo y hayan perdido el beneficio por alguna de las causales contempladas en el Artículo 17 del presente reglamento, no podrán postularse nuevamente.,
15. Estudiantes que son financiados a través del Fondo, bajo las condiciones establecidas para la línea de pregrado en la modalidad ACCES, no podrán postularse o solicitar cambio de condiciones a las inicialmente adjudicadas.,
16. Los créditos financiados por este Fondo se otorgan por una ÚNICA vez.,REQUISITOS DEL CODEUDOR,
a. Si es natural,
Por solicitud del Ministerio de Educación Nacional y Fundación Saldarriaga Concha, los beneficiarios de los créditos condonables, quienes respaldan las obligaciones adquiridas, no serán sometidos a estudio crediticio antes centrales de riesgo, tampoco contarán con un deudor solidario diferente a ellos mismos, esto debido a la importancia de viabilizar el otorgamiento del beneficio de créditos condonables a colombianos con discapacidad de escasos recursos.,
b. Si es jurídico,
No aplica","Quienes aspiren a los créditos condonables deberán cumplir como mínimo con los siguientes requisitos:,1. Ser ciudadano colombiano/a,2. Presentar el certificado que acredite el tipo de discapacidad (de acuerdo a la Resolución 113 de 2020 del Ministerio de Salud) expedido por una E.P.S. o Junta de Invalidez. Dicha certificación deberá ser remitida vía correo electrónico, no obstante, el aspirante deberá garantizar que el documento adjunto es copia fiel del certificado original enviando una declaración suscrita por el aspirante que contenga lo siguiente:,2.1. Correo: fondo@saldarriagaconcha.org,2.2. Asunto: Convocatoria 2021-2_Nombres y Apellidos,2.3. Declaración del certificado: “(nombre del aspirante, identificado con la cedula de ciudadanía No. -------, declaro que el presente documento adjunto es fiel copia del documento original por medio del cual se certifica y/o acredita la discapacidad establecida. Por lo anterior, doy fe de la autenticidad y veracidad del documento presentado para cumplir con los requisitos para aspirar al crédito condonable.,2.4. Incluir firma y cedula del aspirante)”.,3. Pertenecer a los estratos 1, 2 o 3.,4. No tener apoyo económico adicional de entidades nacionales u otros organismos, para adelantar estudios de educación superior en los niveles técnico profesional, tecnológico o universitario, no ser beneficiario, ni haber sido beneficiario de las líneas de créditos 100% condonables del ICETEX, ni ser beneficiario del componente equidad del programa generación E.,5. Estar admitido en una Institución de Educación Superior reconocida por el Ministerio de Educación Nacional,6. Haber presentado la prueba Saber 11 o la prueba de estado equivalente,7. Haber terminado satisfactoriamente el nivel o periodo académico inmediatamente anterior para aspirantes de tercer semestre en adelante.,8. No tener título de nivel universitario.,9. El documento de identidad con el cual el/la aspirante se inscribe en la convocatoria del Fondo debe coincidir con el del certificado médico que se remite a la Fundación Saldarriaga Concha.,10. Diligenciar completa y correctamente el formulario de solicitud del crédito, en el sitio web que se indique en la convocatoria.,11. El no cumplimiento de alguno de los anteriores requisitos excluirá al candidato de participar en la presente convocatoria.,12. Quienes aspiren deberán tener en cuenta las siguientes condiciones:,13. Aspirantes que se presentaron a la convocatoria y no fueron seleccionados, pueden iniciar el proceso en una próxima convocatoria, si la hubiere,14. Estudiantes que hayan sido beneficiarios del Fondo y hayan perdido el beneficio por alguna de las causales contempladas en el Artículo 17 del presente reglamento, no podrán postularse nuevamente.,15. Estudiantes que son financiados a través del Fondo, bajo las condiciones establecidas para la línea de pregrado en la modalidad ACCES, no podrán postularse o solicitar cambio de condiciones a las inicialmente adjudicadas.,16. Los créditos financiados por este Fondo se otorgan por una ÚNICA vez.,REQUISITOS DEL CODEUDOR,a. Si es natural,Por solicitud del Ministerio de Educación Nacional y Fundación Saldarriaga Concha, los beneficiarios de los créditos condonables, quienes respaldan las obligaciones adquiridas, no serán sometidos a estudio crediticio antes centrales de riesgo, tampoco contarán con un deudor solidario diferente a ellos mismos, esto debido a la importancia de viabilizar el otorgamiento del beneficio de créditos condonables a colombianos con discapacidad de escasos recursos.,b. Si es jurídico,No aplica","ciencias de la computación,Ingeniería",Licenciatura / Grado,https://becas-sin-fronteras.com/beca/apoyo-financiero-para-estudiantes-con-discapacidad-en-educacion-superior-icetex-a2393/,certificado cumplir solicitar resolución garantizar centrales formulario sitio aspirante documento línea remitida incluir título ciudadano remite estudio créditos aspirante)” diligenciar
Indonesia,"Becas KNB, Gobierno de Indonesia, 2023-2024","REQUISITOS PARA LA BECA DE DOCTORADO,
1. La edad máxima para solicitar la beca es de 40 años.,
2. Tener un título de maestría (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de un doctorado no es elegible para postularse.,
3. Obtenga una carta de recomendación de la investigación potencial supervisor en una de las universidades colaboradoras de la beca KNB.,
4. Proporcione una declaración de propósito que al menos indique el propósito de sus estudios, el origen de sus intereses en estudiar en Indonesia y seguir el tema de investigación elegido y sus planes para el futuro académico.,
5. Tener un puntaje de TOEFL o IELTS (u otra prueba certificada de dominio del inglés) de 90 TOEFL IBT o 7.0 IELTS o equivalente (el certificado debe obtenerse dentro de los últimos 2 años).,
6. Complete el formulario de solicitud en línea.,REQUISITOS PARA LA BECA DE MASTER,
a. La edad máxima para solicitar la beca es de 35 años.,
b. Tener una licenciatura (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de la maestría no es elegible para solicitar la beca de maestría.,
c. Tener al menos el puntaje IBT TOEFL de 80, o el puntaje IELTS de 6.0, o TOEIC puntuación de 700 (el certificado debe obtenerse en los últimos 2 años).,
d. Proporcione la carta de recomendación para solicitar la beca KNB de la Embajada de Indonesia o del Consulado General de Indonesia.,
e. Proporcione una carta de recomendación para solicitar la beca KNB del empleador / supervisor inmediato.,
f. Proporcionar una carta de recomendación académica de escuelas anteriores.,
g. Prueba de ciudadanía (pasaporte oficial o identificación personal).,
h. Complete el formulario de solicitud en línea.,REQUISITOS PARA BECAS DE LICENCIATURA,
1. La edad máxima para solicitar la beca es de 25 años.,
2. Tener un título de escuela secundaria (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de la maestría no es elegible para solicitar la beca de maestría.,
3. Tener el puntaje de la prueba de dominio del inglés de la siguiente manera: IBT TOEFL de 80,,
4. IELTS de 6.0, TOEIC de 700 (el certificado debe obtenerse en los últimos 2 años).,
5. Proporcionar la carta de recomendación para solicitar la beca KNB de la Embajada de Indonesia o del Consulado General de Indonesia.,
6. Proporcione una carta de recomendación para solicitar la beca KNB del empleador / supervisor inmediato.,
7. Proporcionar una carta de recomendación académica de escuelas anteriores.,
8. Prueba de ciudadanía (pasaporte oficial o identificación personal).,
9. Complete el formulario de solicitud en línea.","REQUISITOS PARA LA BECA DE DOCTORADO,1. La edad máxima para solicitar la beca es de 40 años.,2. Tener un título de maestría (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de un doctorado no es elegible para postularse.,3. Obtenga una carta de recomendación de la investigación potencial supervisor en una de las universidades colaboradoras de la beca KNB.,4. Proporcione una declaración de propósito que al menos indique el propósito de sus estudios, el origen de sus intereses en estudiar en Indonesia y seguir el tema de investigación elegido y sus planes para el futuro académico.,5. Tener un puntaje de TOEFL o IELTS (u otra prueba certificada de dominio del inglés) de 90 TOEFL IBT o 7.0 IELTS o equivalente (el certificado debe obtenerse dentro de los últimos 2 años).,6. Complete el formulario de solicitud en línea.,REQUISITOS PARA LA BECA DE MASTER,a. La edad máxima para solicitar la beca es de 35 años.,b. Tener una licenciatura (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de la maestría no es elegible para solicitar la beca de maestría.,c. Tener al menos el puntaje IBT TOEFL de 80, o el puntaje IELTS de 6.0, o TOEIC puntuación de 700 (el certificado debe obtenerse en los últimos 2 años).,d. Proporcione la carta de recomendación para solicitar la beca KNB de la Embajada de Indonesia o del Consulado General de Indonesia.,e. Proporcione una carta de recomendación para solicitar la beca KNB del empleador / supervisor inmediato.,f. Proporcionar una carta de recomendación académica de escuelas anteriores.,g. Prueba de ciudadanía (pasaporte oficial o identificación personal).,h. Complete el formulario de solicitud en línea.,REQUISITOS PARA BECAS DE LICENCIATURA,1. La edad máxima para solicitar la beca es de 25 años.,2. Tener un título de escuela secundaria (proporcione el certificado de grado escaneado y las transcripciones académicas en inglés). Tenga en cuenta que el titular de la maestría no es elegible para solicitar la beca de maestría.,3. Tener el puntaje de la prueba de dominio del inglés de la siguiente manera: IBT TOEFL de 80,,4. IELTS de 6.0, TOEIC de 700 (el certificado debe obtenerse en los últimos 2 años).,5. Proporcionar la carta de recomendación para solicitar la beca KNB de la Embajada de Indonesia o del Consulado General de Indonesia.,6. Proporcione una carta de recomendación para solicitar la beca KNB del empleador / supervisor inmediato.,7. Proporcionar una carta de recomendación académica de escuelas anteriores.,8. Prueba de ciudadanía (pasaporte oficial o identificación personal).,9. Complete el formulario de solicitud en línea.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-knb-gobierno-de-indonesia-a0326/,"maestría futuro prueba investigación certificado solicitar ,requisitos propósito indique formulario ciudadanía escuela equivalente recomendación identificación estudios inglés complete línea pasaporte"
Irlanda,"Becas Internacionales de Educación GOI-IES del Gobierno de Irlanda, 2023","Los candidatos deben demostrar:,
1. Un historial de logros académicos sobresalientes,
2. Excelentes habilidades de comunicación;,
3. Participación en actividades extracurriculares. Por ejemplo: trabajo humanitario; política ya sea local, nacional o internacional; letras; deportes;,
4. Una razón sólida para continuar sus estudios en Irlanda que indique cómo se alinea con sus objetivos a largo plazo.","Los candidatos deben demostrar:,1. Un historial de logros académicos sobresalientes,2. Excelentes habilidades de comunicación;,3. Participación en actividades extracurriculares. Por ejemplo: trabajo humanitario; política ya sea local, nacional o internacional; letras; deportes;,4. Una razón sólida para continuar sus estudios en Irlanda que indique cómo se alinea con sus objetivos a largo plazo.","ciencias de la computación,Ingeniería","Licenciatura / Grado,Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-internacionales-de-educacion-goi-ies-del-gobierno-de-irlanda-a1466/,política candidatos actividades objetivos ejemplo participación historial continuar estudios letras plazo indique razón habilidades trabajo logros alinea
España,"Becas Iberoamérica + Asia, Universidad de Valladolid – Banco Santander, 2023-2024","PODRÁN SER BENEFICIARIOS DE ESTAS AYUDAS,
1. Profesores universitarios que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática que se encuentre entre las instituciones socias con las que la Uva colabora o ha colaborado en el marco del programa de la Unión Europea Erasmus+ KA107 en los últimos 5 años,,
2. Profesores universitarios que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática con la que se ha suscrito un convenio internacional que se encuentre vigente,,
3. Egresados universitarios de cualquier universidad de Iberoamérica o Asia con nacionalidad y residencia en países de Iberoamérica y Asia, preferentemente Brasil e India. La fecha de obtención del título de egresado universitario, incluida la ceremonia de grado, deberá ser anterior a la fecha de finalización del plazo de presentación de solicitudes.,
4. El listado de universidades socias iberoamericanas y asiáticas con las que la UVa colabora o ha colaborado en el marco del mencionado programa de la Unión Europea o mediante convenio internacional se encuentra disponible en el siguiente enlace https://iberoamerica-asia.uva.es/,LOS BENEFICIARIOS DEBERÁN CUMPLIR LOS SIGUIENTES REQUISITOS,
a. Tener una nota media mínima de 7 puntos en una escala de 0 a 10 en su expediente académico de egresado universitario en el título que da acceso a cursar estudios de Máster.,
b. No estar cursando o haber cursado estudios de Máster en una universidad española.,
c. No haber residido en España durante más de 12 meses en los últimos 3 años, tomando como referencia la fecha de publicación de la presente convocatoria.,
d. No haber sido beneficiario previamente de una beca de estas características en convocatorias anteriores, salvo que hubieran cursado durante el curso académico 2022/2023 estudios de Máster de más de 60 ECTS en el marco de este Programa, en cuyo caso podrán solicitar la renovación de la beca.,
e. Cumplir los requisitos exigidos para la admisión en el programa de Máster para el que se solicita la ayuda económica.","PODRÁN SER BENEFICIARIOS DE ESTAS AYUDAS,1. Profesores universitarios que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática que se encuentre entre las instituciones socias con las que la Uva colabora o ha colaborado en el marco del programa de la Unión Europea Erasmus+ KA107 en los últimos 5 años,,2. Profesores universitarios que prestan actualmente sus servicios como docentes en una universidad latinoamericana o asiática con la que se ha suscrito un convenio internacional que se encuentre vigente,,3. Egresados universitarios de cualquier universidad de Iberoamérica o Asia con nacionalidad y residencia en países de Iberoamérica y Asia, preferentemente Brasil e India. La fecha de obtención del título de egresado universitario, incluida la ceremonia de grado, deberá ser anterior a la fecha de finalización del plazo de presentación de solicitudes.,4. El listado de universidades socias iberoamericanas y asiáticas con las que la UVa colabora o ha colaborado en el marco del mencionado programa de la Unión Europea o mediante convenio internacional se encuentra disponible en el siguiente enlace https://iberoamerica-asia.uva.es/,LOS BENEFICIARIOS DEBERÁN CUMPLIR LOS SIGUIENTES REQUISITOS,a. Tener una nota media mínima de 7 puntos en una escala de 0 a 10 en su expediente académico de egresado universitario en el título que da acceso a cursar estudios de Máster.,b. No estar cursando o haber cursado estudios de Máster en una universidad española.,c. No haber residido en España durante más de 12 meses en los últimos 3 años, tomando como referencia la fecha de publicación de la presente convocatoria.,d. No haber sido beneficiario previamente de una beca de estas características en convocatorias anteriores, salvo que hubieran cursado durante el curso académico 2022/2023 estudios de Máster de más de 60 ECTS en el marco de este Programa, en cuyo caso podrán solicitar la renovación de la beca.,e. Cumplir los requisitos exigidos para la admisión en el programa de Máster para el que se solicita la ayuda económica.","ciencias de la computación,Ingeniería",Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-iberoamerica-plus-asia-universidad-de-valladolid-banco-santander-a1415/,beneficiario cursar tomando incluida cumplir enlace uva solicitudes máster cursado convocatoria solicitar puntos renovación egresados admisión finalización estudios ayuda convocatorias
Japón,"Beca para Doctorado en Ciencias de la Sostenibilidad, Japan Foundation for UNU (JFUNU) Scholarship, 2023","1. Los solicitantes deben ser personas de países en desarrollo* que puedan demostrar la necesidad de asistencia financiera;,
2. Los que actualmente viven en Japón con una visa de trabajo NO son elegibles para la beca;,
3. Los que ya estén inscritos en otros programas de posgrado no son elegibles. Esto incluye a quienes ya hayan obtenido un título de maestría en una institución distinta a la UNU-IAS; y,
4. No deben ser beneficiarios de otras becas al mismo tiempo.,Requisitos adicionales,
a. Los beneficiarios de la beca JFUNU deben escribir un breve ensayo sobre su aprendizaje y experiencias en la UNU, que se envía a la organización donante. Antes de la graduación, se solicita a cada beneficiario que envíe una nota de agradecimiento a los donantes con reflexiones sobre sus planes futuros.,
b. Los beneficiarios acuerdan fomentar la colaboración con jfUNU mediante la participación en actividades, eventos y otras oportunidades ofrecidas al cuerpo estudiantil de jfUNU.","1. Los solicitantes deben ser personas de países en desarrollo* que puedan demostrar la necesidad de asistencia financiera;,2. Los que actualmente viven en Japón con una visa de trabajo NO son elegibles para la beca;,3. Los que ya estén inscritos en otros programas de posgrado no son elegibles. Esto incluye a quienes ya hayan obtenido un título de maestría en una institución distinta a la UNU-IAS; y,4. No deben ser beneficiarios de otras becas al mismo tiempo.,Requisitos adicionales,a. Los beneficiarios de la beca JFUNU deben escribir un breve ensayo sobre su aprendizaje y experiencias en la UNU, que se envía a la organización donante. Antes de la graduación, se solicita a cada beneficiario que envíe una nota de agradecimiento a los donantes con reflexiones sobre sus planes futuros.,b. Los beneficiarios acuerdan fomentar la colaboración con jfUNU mediante la participación en actividades, eventos y otras oportunidades ofrecidas al cuerpo estudiantil de jfUNU.",ciencias de la computación,Maestría / Especialidad,https://becas-sin-fronteras.com/beca/becas-japon-japan-foundation-for-unu-jfunu-scholarship-11693/,"maestría organización beneficiario actividades acuerdan escribir ,requisitos programas asistencia agradecimiento desarrollo fomentar institución envía viven obtenido oportunidades visa becas países"
"Bolivia,Brasil,Chile,Colombia,Ecuador,Guatemala,Honduras,Paraguay,Perú,otros países","Becas Russell E. Train Fellowships, del World Wildlife Foundation, WWF, 2023","1. Debe ser ciudadano y residente permanente legal de un país elegible.,
2. Debe tener al menos dos años de trabajo relacionado con la conservación o experiencia en investigación.,
3. Debe demostrar compromiso para trabajar en la conservación en un país elegible.,
4. Debe estar inscrito, admitido o haber solicitado inscripción a un programa de maestría o doctorado en cualquier parte del mundo.,
5. Debe planear comenzar sus estudios a más tardar en enero de 2024.,
6. Debe comunicarse con EFN si es un empleado de WWF, un consultor o un beneficiario anterior de una subvención de EFN para determinar su elegibilidad.,
7. Debe enviar todos los documentos requeridos antes de la fecha límite de aplicación (1 de febrero de 2023).","1. Debe ser ciudadano y residente permanente legal de un país elegible.,2. Debe tener al menos dos años de trabajo relacionado con la conservación o experiencia en investigación.,3. Debe demostrar compromiso para trabajar en la conservación en un país elegible.,4. Debe estar inscrito, admitido o haber solicitado inscripción a un programa de maestría o doctorado en cualquier parte del mundo.,5. Debe planear comenzar sus estudios a más tardar en enero de 2024.,6. Debe comunicarse con EFN si es un empleado de WWF, un consultor o un beneficiario anterior de una subvención de EFN para determinar su elegibilidad.,7. Debe enviar todos los documentos requeridos antes de la fecha límite de aplicación (1 de febrero de 2023).",ciencias de la computación,"Maestría / Especialidad,Doctorado",https://becas-sin-fronteras.com/beca/becas-russell-e-train-fellowships-del-world-wildlife-foundation-wwf-a1093/,maestría beneficiario país investigación trabajo inscripción consultor compromiso enviar comunicarse aplicación estudios documentos elegibilidad subvención residente ciudadano conservación empleado solicitado
